29 57 77 221 231 290 383 391 455 543 551 554 682 706 739 817 860 961 , 57 77 80 221 290 383 391 455 520 543 551 554 682 706 739 817 860 961 , 0.8
107 305 , 107 305 410 , 0.666667
90 232 257 260 295 327 361 400 696 714 743 778 819 900 954 , 24 90 232 257 295 327 346 361 696 714 743 778 819 900 954 , 0.764706
79 108 122 154 211 386 422 479 582 591 615 616 828 874 , 79 108 122 211 386 422 479 517 582 615 616 774 828 874 , 0.75
54 58 113 126 130 412 459 632 781 816 884 927 935 , 54 58 113 126 130 412 459 632 737 781 816 884 924 935 , 0.8
85 90 96 148 192 403 853 , 90 96 148 192 403 853 989 , 0.75
33 226 358 506 525 682 700 763 816 863 908 922 988 , 33 226 258 358 506 525 668 682 700 763 816 863 908 922 , 0.8
371 583 866 884 , 371 436 583 866 884 , 0.8
266 483 988 , 266 483 777 988 , 0.75
76 156 179 182 409 422 473 523 552 562 627 677 750 868 909 950 , 76 156 179 182 409 415 422 473 552 562 627 677 750 909 950 982 , 0.777778
12 352 669 756 , 12 352 402 669 756 , 0.8
82 536 677 724 , 82 536 677 724 797 , 0.8
102 132 263 322 348 408 526 586 610 631 721 799 , 102 132 161 263 322 348 408 526 610 631 721 799 883 , 0.785714
6 121 214 269 , 6 121 214 269 416 , 0.8
56 156 219 351 483 484 492 532 533 584 724 757 768 917 932 , 56 156 351 483 484 492 533 584 587 679 724 757 768 917 932 , 0.764706
615 , 615 718 , 0.5
143 153 195 283 522 588 605 663 685 751 829 972 , 143 153 195 403 522 588 605 652 663 685 751 829 972 , 0.785714
104 117 139 149 216 250 322 497 516 578 689 713 802 952 , 104 117 139 149 216 250 251 322 516 578 713 802 935 952 , 0.75
10 32 105 197 336 354 416 430 503 703 732 793 817 919 948 972 993 , 10 105 197 336 354 416 430 472 674 703 732 793 817 919 948 972 993 , 0.789474
163 265 318 542 627 637 708 908 958 , 265 318 542 627 637 669 708 853 908 958 , 0.727273
